"name.player","id.player","team","id.team","is.active_player","seasons.played","year.from","year.to","name.last","name.first","display_first_last","code.player","city.team","name.team","stem.team","code.team","games_played_flag","url.player"
"Stacey Arceneaux",1918,NA,1,FALSE,0,1961,1961,"Arceneaux"," Stacey","Stacey Arceneaux","HISTADD_stacey_arceneaux",NA,NA,NA,NA,"Y","1918http://stats.nba.com/player/#!/"
"Nate Archibald",1919,NA,1,FALSE,13,1970,1983,"Archibald"," Nate","Nate Archibald","HISTADD_nate_archibald",NA,NA,NA,NA,"Y","1919http://stats.nba.com/player/#!/"
"Robert Archibald",1463,NA,1,FALSE,1,2002,2003,"Archibald"," Robert","Robert Archibald","robert_archibald",NA,NA,NA,NA,"Y","1463http://stats.nba.com/player/#!/"
"Jim Ard",1920,NA,1,FALSE,3,1974,1977,"Ard"," Jim","Jim Ard","HISTADD_jim_ard",NA,NA,NA,NA,"Y","1920http://stats.nba.com/player/#!/"
"Gilbert Arenas",1393,NA,1,FALSE,10,2001,2011,"Arenas"," Gilbert","Gilbert Arenas","gilbert_arenas",NA,NA,NA,NA,"Y","1393http://stats.nba.com/player/#!/"
"Trevor Ariza",1623,"12 24",10,TRUE,12,2004,2016,"Ariza"," Trevor","Trevor Ariza","trevor_ariza",12,24,12,24,"Y","1623http://stats.nba.com/player/#!/"
"Paul Arizin",1921,NA,1,FALSE,11,1950,1961,"Arizin"," Paul","Paul Arizin","HISTADD_paul_arizin",NA,NA,NA,NA,"Y","1921http://stats.nba.com/player/#!/"
"Joe Arlauckas",1922,NA,1,FALSE,0,1987,1987,"Arlauckas"," Joe","Joe Arlauckas","HISTADD_joe_arlauckas",NA,NA,NA,NA,"Y","1922http://stats.nba.com/player/#!/"
"Bj Armstrong",2605,NA,1,FALSE,10,1989,1999,"Armstrong"," BJ","B.J. Armstrong","HISTADD_bj_armstrong",NA,NA,NA,NA,"Y","2605http://stats.nba.com/player/#!/"
"Bob Armstrong",1925,NA,1,FALSE,0,1956,1956,"Armstrong"," Bob","Bob Armstrong","HISTADD_bob_armstrong",NA,NA,NA,NA,"Y","1925http://stats.nba.com/player/#!/"
"Brandon Armstrong",1378,NA,1,FALSE,2,2001,2003,"Armstrong"," Brandon","Brandon Armstrong","brandon_armstrong",NA,NA,NA,NA,"Y","1378http://stats.nba.com/player/#!/"
"Darrell Armstrong",1699,NA,1,FALSE,13,1994,2007,"Armstrong"," Darrell","Darrell Armstrong","darrell_armstrong",NA,NA,NA,NA,"Y","1699http://stats.nba.com/player/#!/"
"Hilton Armstrong",624,NA,1,FALSE,7,2006,2013,"Armstrong"," Hilton","Hilton Armstrong","hilton_armstrong",NA,NA,NA,NA,"Y","624http://stats.nba.com/player/#!/"
"Paul Armstrong",1924,NA,1,FALSE,2,1948,1950,"Armstrong"," Paul","Paul Armstrong","HISTADD_curly_armstrong",NA,NA,NA,NA,"Y","1924http://stats.nba.com/player/#!/"
"Tate Armstrong",1923,NA,1,FALSE,1,1977,1978,"Armstrong"," Tate","Tate Armstrong","HISTADD_tate_armstrong",NA,NA,NA,NA,"Y","1923http://stats.nba.com/player/#!/"
"Jesse Arnelle",1926,NA,1,FALSE,0,1955,1955,"Arnelle"," Jesse","Jesse Arnelle","HISTADD_jesse_arnelle",NA,NA,NA,NA,"Y","1926http://stats.nba.com/player/#!/"
"Jay Arnette",1927,NA,1,FALSE,2,1963,1965,"Arnette"," Jay","Jay Arnette","HISTADD_jay_arnette",NA,NA,NA,NA,"Y","1927http://stats.nba.com/player/#!/"
"Bob Arnzen",1928,NA,1,FALSE,0,1970,1970,"Arnzen"," Bob","Bob Arnzen","HISTADD_bob_arnzen",NA,NA,NA,NA,"Y","1928http://stats.nba.com/player/#!/"
"Carlos Arroyo",1415,NA,1,FALSE,9,2001,2010,"Arroyo"," Carlos","Carlos Arroyo","carlos_arroyo",NA,NA,NA,NA,"Y","1415http://stats.nba.com/player/#!/"
"Darrell Arthur",783,"9 19",8,TRUE,8,2008,2016,"Arthur"," Darrell","Darrell Arthur","darrell_arthur",9,19,9,19,"Y","783http://stats.nba.com/player/#!/"
"John Arthurs",1929,NA,1,FALSE,0,1969,1969,"Arthurs"," John","John Arthurs","HISTADD_john_arthurs",NA,NA,NA,NA,"Y","1929http://stats.nba.com/player/#!/"
"Omer Asik",792,"20 21",5,TRUE,6,2010,2016,"Asik"," Omer","Omer Asik","omer_asik",20,21,20,21,"Y","792http://stats.nba.com/player/#!/"
"Vincent Askew",1700,NA,1,FALSE,10,1987,1997,"Askew"," Vincent","Vincent Askew","HISTADD_vincent_askew",NA,NA,NA,NA,"Y","1700http://stats.nba.com/player/#!/"
"Keith Askins",458,NA,1,FALSE,8,1990,1998,"Askins"," Keith","Keith Askins","HISTADD_keith_askins",NA,NA,NA,NA,"Y","458http://stats.nba.com/player/#!/"
"Don Asmonga",1930,NA,1,FALSE,0,1953,1953,"Asmonga"," Don","Don Asmonga","HISTADD_don_asmonga",NA,NA,NA,NA,"Y","1930http://stats.nba.com/player/#!/"
"Richard Atha",1931,NA,1,FALSE,2,1955,1957,"Atha"," Richard","Richard Atha","HISTADD_dick_atha",NA,NA,NA,NA,"Y","1931http://stats.nba.com/player/#!/"
"Chucky Atkins",140,NA,1,FALSE,10,1999,2009,"Atkins"," Chucky","Chucky Atkins","chucky_atkins",NA,NA,NA,NA,"Y","140http://stats.nba.com/player/#!/"
